"filename", "language", "Makefile", "C", "Shell Script", "nasm", "C++", "comment", "blank", "total"
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十一章 尾声\03 在真机上运行\Makefile", "Makefile", 229, 0, 0, 0, 0, 15, 63, 307
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十一章 尾声\03 在真机上运行\boot\boot.asm", "nasm", 0, 0, 0, 197, 0, 20, 15, 232
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十一章 尾声\03 在真机上运行\boot\hdboot.asm", "nasm", 0, 0, 0, 148, 0, 53, 27, 228
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十一章 尾声\03 在真机上运行\boot\hdldr.asm", "nasm", 0, 0, 0, 459, 0, 187, 96, 742
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十一章 尾声\03 在真机上运行\boot\include\fat12hdr.inc", "nasm", 0, 0, 0, 24, 0, 9, 1, 34
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十一章 尾声\03 在真机上运行\boot\include\lib.inc", "nasm", 0, 0, 0, 116, 0, 20, 12, 148
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十一章 尾声\03 在真机上运行\boot\include\loader.inc", "nasm", 0, 0, 0, 34, 0, 9, 7, 50
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十一章 尾声\03 在真机上运行\boot\include\pm.inc", "nasm", 0, 0, 0, 40, 0, 18, 7, 65
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十一章 尾声\03 在真机上运行\boot\loader.asm", "nasm", 0, 0, 0, 404, 0, 51, 25, 480
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十一章 尾声\03 在真机上运行\command\Makefile", "Makefile", 37, 0, 0, 0, 0, 7, 15, 59
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十一章 尾声\03 在真机上运行\command\echo.c", "C", 0, 11, 0, 0, 0, 1, 1, 13
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十一章 尾声\03 在真机上运行\command\pwd.c", "C", 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十一章 尾声\03 在真机上运行\command\start.asm", "nasm", 0, 0, 0, 12, 0, 7, 4, 23
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十一章 尾声\03 在真机上运行\fs\link.c", "C", 0, 130, 0, 0, 0, 66, 20, 216
"c:\Users\带ta去蒙古国\Desktop\自己动手写操作系统\第十一章 尾声\03 在真机上运行\fs\main.c", "C", 0, 330, 0, 0, 0, 189, 50, 569
